,Twn Num,Twn Dir,Rng Num,Rng Dir,Sec,Quarter,Lib Num,API Num,Operator,Well Name,Field,Type,State,County,Photos,Thin Sec,Analysis,Latitude,Longitude,Source,Security Flag,Formation,Age,Min Depth,Max Depth,thickness
15464,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,2006.0,2076.0,70.0
15465,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,2086.0,2125.0,39.0
15466,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,2145.0,2155.0,10.0
15467,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,2175.0,2185.0,10.0
15468,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,2215.0,2235.0,20.0
15469,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,2245.0,2305.0,60.0
15488,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,2325.0,2355.0,30.0
15489,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,2425.0,2455.0,30.0
15490,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,2545.0,2555.0,10.0
15491,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,2605.0,2635.0,30.0
15492,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,2665.0,2695.0,30.0
15493,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,2715.0,2805.0,90.0
15494,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,2834.0,2844.0,10.0
15495,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,2886.0,2916.0,30.0
15496,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,3036.0,3066.0,30.0
15497,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,3136.0,3176.0,40.0
15498,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,3190.0,3220.0,30.0
15499,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,3330.0,3436.0,106.0
